Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,adj_p_value,Significant
duration_sec,Control,WNV,Mann-Whitney U,753.0,0.012285996578352991,0.03767695786745586,0.017761277662184216,True
duration_min,Control,WNV,Mann-Whitney U,753.0,0.012285996578352991,0.03767695786745744,0.017761277662184216,True
number_of_signals,Control,WNV,Mann-Whitney U,1968.0,8.034573524194159e-10,-2.781632853186041,2.0036217725959187e-08,True
sampling_frequency,Control,WNV,Mann-Whitney U,1406.0,0.024615510406938153,-0.7215238497530405,0.033984735821343676,True
highpass,Control,WNV,Mann-Whitney U,423.0,3.5015007052545085e-16,2.8382310609877335,1.397098781396549e-13,True
lowpass,Control,WNV,Mann-Whitney U,1706.0,2.929917078393273e-06,-1.2056482142702953,1.2051926951329032e-05,True
n_samples,Control,WNV,T-test,2.4285198645393713,0.01669612821154446,-0.5554092600171826,0.023539770870693425,True
size,Control,WNV,T-test,4.2517453972696355,4.3128166993814594e-05,-0.9723860197153049,0.00013657252881374622,True
overall_pswe_median_percentage,Control,WNV,Mann-Whitney U,546.5,0.003220426716039048,1.0156975239598933,0.0053906163413704215,True
overall_pswe_events_per_minute,Control,WNV,Mann-Whitney U,243.0,3.1419842075461533e-09,2.367167009960955,5.450659560047457e-08,True
overall_pswe_avg_length,Control,WNV,Mann-Whitney U,350.5,1.9383123474640314e-07,1.3369002034468283,1.154308397967386e-06,True
overall_min,Control,WNV,Mann-Whitney U,1574.0,0.0028967794855355947,-0.940330987144095,0.004981961270382338,True
overall_max,Control,WNV,Mann-Whitney U,713.0,0.005584544902932126,0.9142768649194405,0.008636563628953172,True
overall_mean,Control,WNV,Mann-Whitney U,905.0,0.13686415038176097,-0.03921202292318071,0.17502819231513664,False
overall_median,Control,WNV,Mann-Whitney U,1416.0,0.05458790627071837,-0.6371311969391499,0.07333526802025801,False
overall_std,Control,WNV,Mann-Whitney U,619.0,0.0006746377006851584,1.0077981160227711,0.001401981471736345,True
overall_psd_mean,Control,WNV,Mann-Whitney U,605.0,0.00047711887100330855,0.8697040940153745,0.0010635219526833526,True
overall_psd_std,Control,WNV,Mann-Whitney U,399.0,1.11293437374463e-06,1.3758391562531278,4.879789177187993e-06,True
overall_fft_mean,Control,WNV,Mann-Whitney U,937.0,0.20279530864930884,0.5794818602767619,0.25286040047210695,False
overall_fft_std,Control,WNV,Mann-Whitney U,529.0,6.296934199112945e-05,1.0395404290245231,0.00018890802597338837,True
overall_delta_power,Control,WNV,Mann-Whitney U,288.0,1.992463807476273e-08,1.653847067892944,1.9874826479575824e-07,True
overall_theta_power,Control,WNV,Mann-Whitney U,701.0,0.004351954870520532,0.4731521648917571,0.007030080944687014,True
overall_alpha_power,Control,WNV,Mann-Whitney U,1143.0,0.922771812702489,-0.15360054490796102,0.9440665468417773,False
overall_beta_power,Control,WNV,Mann-Whitney U,1214.0,0.5675738295483483,-0.03749109971910349,0.6488881317759054,False
overall_gamma_power,Control,WNV,Mann-Whitney U,1098.0,0.8436487505599994,0.7844300099352283,0.8788925625938375,False
overall_skewness,Control,WNV,Mann-Whitney U,908.0,0.1422364065777373,0.4748096419451217,0.18131733618056609,False
overall_kurtosis,Control,WNV,Mann-Whitney U,634.0,0.0009689231423932495,0.5495490014615071,0.0018858552869019832,True
